"","X1","X1_1","id","Condition","Nplayers","Nround","IsParallel","Finder","Ngame","Ngroup","ID","Corner","ConditionDummy","Failures","farsearch","Nsearch","order"
"1",1,1,"8-59","Patent",1,4,2,204355532,1,1,"(8-59)",0,1,2,1,4,1
"2",2,2,"7-25","Patent",2,9,2,207721614,1,1,"(7-25)",0,1,3,0,7,1
"3",3,3,"5-44","Patent",1,2,1,204355532,1,1,"(5-44)",0,1,0,1,2,1
"4",4,4,"26-58","Patent",2,4,1,204355532,1,1,"(26-58)",0,1,5,1,7,1
"5",5,5,"12-12","Patent",1,4,1,931177406,1,1,"(12-12)",0,1,2,0,4,1
"6",6,6,"24-58","Patent",1,3,1,931177406,2,1,"(24-58)",0,1,1,0,3,2
"7",7,7,"3-61","Patent",2,6,1,207721614,2,1,"(3-61)",0,1,2,0,4,2
"8",8,8,"25-7","Patent",1,6,1,207721614,2,1,"(25-7)",0,1,2,0,4,2
"9",9,9,"16-42","Patent",1,3,1,204355532,2,1,"(16-42)",0,1,1,0,3,2
"10",10,10,"3-46","Patent",1,4,1,931177406,3,1,"(3-46)",0,1,2,0,4,3
"11",11,11,"13-54","Patent",1,5,1,931177406,3,1,"(13-54)",0,1,2,0,4,3
"12",12,12,"3-11","Patent",1,NA,1,207721614,3,1,"(3-11)",0,1,1,0,2,3
"13",13,13,"18-13","Patent",1,3,1,204355532,4,1,"(18-13)",0,1,1,0,3,4
"14",14,14,"27-44","Patent",1,6,1,931177406,4,1,"(27-44)",0,1,2,0,4,4
"15",15,15,"28-36","Patent",1,31,5,313863151,5,2,"(28-36)",0,1,3,1,5,1
"16",16,16,"7-16","Patent",1,32,5,313863151,5,2,"(7-16)",0,1,2,1,4,1
"17",17,17,"26-59","Patent",1,9,4,1212,5,2,"(26-59)",0,1,3,1,5,1
"18",18,18,"24-23","Patent",1,26,5,204701791,5,2,"(24-23)",0,1,1,1,3,1
"19",19,19,"18-17","Patent",2,6,5,208666263,5,2,"(18-17)",0,1,3,1,6,1
"20",20,20,"27-34","Patent",1,13,5,313863151,5,2,"(27-34)",0,1,2,1,4,1
"21",21,21,"1-61","Patent",1,3,4,1212,5,2,"(1-61)",0,1,0,1,2,1
"22",22,22,"5-31","Patent",1,12,4,204701791,5,2,"(5-31)",0,1,1,1,3,1
"23",23,23,"17-15","Patent",1,5,1,313863151,6,2,"(17-15)",0,1,3,0,5,2
"24",24,24,"4-2","Patent",1,3,1,313863151,7,2,"(4-2)",0,1,1,1,3,3
"25",25,25,"19-10","Patent",1,22,2,1212,7,2,"(19-10)",0,1,3,1,5,3
"26",26,26,"27-24","Patent",1,5,2,313863151,7,2,"(27-24)",0,1,3,1,5,3
"27",27,27,"29-24","Patent",1,NA,1,313863151,7,2,"(29-24)",1,1,2,1,4,3
"28",28,28,"29-8","Patent",1,NA,2,1212,7,2,"(29-8)",1,1,4,1,5,3
"29",29,29,"28-52","Patent",1,3,2,313863151,7,2,"(28-52)",0,1,0,1,2,3
"30",30,30,"8-7","Patent",1,6,2,204701791,7,2,"(8-7)",0,1,2,1,4,3
"31",31,31,"28-3","Patent",1,5,2,313863151,8,2,"(28-3)",0,1,2,1,4,4
"32",32,32,"21-54","Patent",1,6,2,204701791,8,2,"(21-54)",0,1,1,1,3,4
"33",33,33,"2-10","Patent",1,18,2,208666263,8,2,"(2-10)",0,1,3,0,5,4
"34",34,34,"29-26","Patent",1,8,2,204701791,8,2,"(29-26)",1,1,1,1,3,4
"35",35,35,"12-20","Patent",1,NA,1,313863151,8,2,"(12-20)",0,1,1,1,1,4
"36",36,36,"10-34","Patent",1,6,1,313325565,9,3,"(10-34)",0,1,1,1,3,1
"37",37,37,"19-16","Patent",1,4,1,12345,9,3,"(19-16)",0,1,1,1,3,1
"38",38,38,"24-55","Patent",1,7,1,204484828,9,3,"(24-55)",0,1,4,1,6,1
"39",39,39,"27-18","Patent",1,2,2,204484828,9,3,"(27-18)",0,1,0,1,2,1
"40",40,40,"9-39","Patent",1,9,2,313325565,9,3,"(9-39)",0,1,3,1,5,1
"41",41,41,"22-13","Patent",2,4,2,12345,9,3,"(22-13)",0,1,2,1,5,1
"42",42,42,"16-23","Patent",1,5,1,12345,9,3,"(16-23)",0,1,3,1,5,1
"43",43,43,"27-36","Patent",1,4,1,204484828,9,3,"(27-36)",0,1,0,1,2,1
"44",44,44,"14-30","Patent",1,4,1,12345,10,3,"(14-30)",0,1,2,0,4,2
"45",45,45,"16-10","Patent",1,6,2,313325565,10,3,"(16-10)",0,1,1,0,3,2
"46",46,46,"18-35","Patent",2,3,2,12345,10,3,"(18-35)",0,1,1,0,4,2
"47",47,47,"11-12","Patent",1,4,1,313325565,10,3,"(11-12)",0,1,0,0,2,2
"48",48,48,"8-23","Patent",1,3,1,204484828,10,3,"(8-23)",0,1,1,0,3,2
"49",49,49,"17-43","Patent",1,NA,1,12345,10,3,"(17-43)",0,1,1,0,2,2
"50",50,50,"12-21","Patent",3,4,1,12345,11,3,"(12-21)",0,1,5,1,8,3
"51",51,51,"25-2","Patent",1,6,2,313325565,11,3,"(25-2)",0,1,1,1,3,3
"52",52,52,"17-23","Patent",1,7,2,208910836,11,3,"(17-23)",0,1,1,0,3,3
"53",53,53,"13-14","Patent",1,4,1,12345,11,3,"(13-14)",0,1,2,1,4,3
"54",54,54,"9-23","Patent",1,3,1,204484828,11,3,"(9-23)",0,1,1,0,3,3
"55",55,55,"29-9","Patent",1,8,1,313325565,11,3,"(29-9)",1,1,0,1,2,3
"56",56,56,"16-43","Patent",1,8,1,208910836,11,3,"(16-43)",0,1,1,0,3,3
"57",57,57,"13-11","Patent",1,NA,1,12345,11,3,"(13-11)",0,1,3,1,3,3
"58",58,58,"29-68","Patent",1,NA,1,313325565,12,3,"(29-68)",1,1,4,1,5,4
"59",59,59,"13-30","Patent",1,4,1,12345,12,3,"(13-30)",0,1,1,1,3,4
"60",60,60,"11-28","Patent",2,3,1,12345,12,3,"(11-28)",0,1,2,1,4,4
"61",61,61,"5-6","Patent",2,8,1,313325565,12,3,"(5-6)",0,1,4,1,6,4
"62",62,62,"8-24","Patent",1,2,1,12345,12,3,"(8-24)",0,1,0,1,2,4
"63",63,63,"13-39","Patent",1,2,1,204188593,60,4,"(13-39)",0,1,0,0,3,1
"64",64,64,"25-55","Patent",1,4,2,203347679,60,4,"(25-55)",0,1,1,0,4,1
"65",65,65,"7-25","Patent",1,4,2,323308478,60,4,"(7-25)",0,1,2,0,4,1
"66",66,66,"19-17","Patent",1,4,1,323308478,60,4,"(19-17)",0,1,2,0,4,1
"67",67,67,"9-59","Patent",1,6,1,323308478,60,4,"(9-59)",0,1,2,0,4,1
"68",68,68,"6-16","Patent",1,NA,1,203122791,60,4,"(6-16)",0,1,0,0,1,1
"69",69,69,"16-39","Patent",2,4,1,323308478,13,4,"(16-39)",0,1,1,1,4,2
"70",70,70,"26-30","Patent",1,4,1,203122791,13,4,"(26-30)",0,1,2,0,4,2
"71",71,71,"23-20","Patent",1,NA,1,203122791,13,4,"(23-20)",0,1,1,0,3,2
"72",72,72,"11-28","Patent",1,4,2,323308478,14,4,"(11-28)",0,1,0,1,2,3
"73",73,73,"17-43","Patent",1,4,2,204188593,14,4,"(17-43)",0,1,2,0,4,3
"74",74,74,"19-16","Patent",2,3,1,203122791,14,4,"(19-16)",0,1,1,1,4,3
"75",75,75,"24-43","Patent",1,3,2,203347679,14,4,"(24-43)",0,1,1,1,3,3
"76",76,76,"6-16","Patent",1,NA,2,323308478,14,4,"(6-16)",0,1,3,1,5,3
"77",77,77,"24-8","Patent",1,4,2,203122791,14,4,"(24-8)",0,1,1,1,3,3
"78",78,78,"21-26","Patent",1,10,1,203122791,15,4,"(21-26)",0,1,3,1,5,4
"79",79,79,"14-27","Patent",1,2,1,203122791,15,4,"(14-27)",0,1,0,1,2,4
"80",80,80,"16-39","Patent",1,8,1,323308478,15,4,"(16-39)",0,1,2,1,4,4
"81",81,81,"23-20","Patent",1,12,2,203122791,15,4,"(23-20)",0,1,3,1,5,4
"82",82,82,"25-40","Patent",1,5,2,203347679,15,4,"(25-40)",0,1,2,1,4,4
"83",83,83,"13-48","Patent",1,9,2,323308478,15,4,"(13-48)",0,1,2,1,4,4
"84",84,84,"20-63","Patent",1,4,2,203347679,15,4,"(20-63)",0,1,1,1,3,4
"85",85,85,"22-6","Patent",1,2,1,204188593,15,4,"(22-6)",0,1,0,0,2,4
"86",86,86,"19-8","Patent",1,3,1,204188593,15,4,"(19-8)",0,1,1,0,3,4
"87",87,87,"26-58","Patent",1,NA,1,323308478,15,4,"(26-58)",0,1,2,1,3,4
"88",88,88,"25-23","Patent",1,8,1,203355011,16,5,"(25-23)",0,1,0,1,2,1
"89",89,89,"25-46","Patent",1,4,1,205794159,16,5,"(25-46)",0,1,2,0,4,1
"90",90,90,"16-22","Patent",2,3,1,205794159,16,5,"(16-22)",0,1,0,0,3,1
"91",91,91,"27-37","Patent",1,6,1,305102741,16,5,"(27-37)",0,1,3,0,5,1
"92",92,92,"14-39","Patent",1,5,1,305102741,16,5,"(14-39)",0,1,3,0,5,1
"93",93,93,"23-14","Patent",1,21,4,203355011,17,5,"(23-14)",0,1,3,1,5,2
"94",94,94,"25-46","Patent",1,31,4,203355011,17,5,"(25-46)",0,1,2,1,4,2
"95",95,95,"14-39","Patent",1,23,4,203355011,17,5,"(14-39)",0,1,2,1,4,2
"96",96,96,"1-4","Patent",1,17,4,307982637,17,5,"(1-4)",0,1,0,1,6,2
"97",97,97,"25-56","Patent",1,3,1,305102741,17,5,"(25-56)",0,1,0,0,2,2
"98",98,98,"28-34","Patent",1,4,1,205794159,17,5,"(28-34)",0,1,1,0,3,2
"99",99,99,"27-36","Patent",2,9,2,205794159,18,5,"(27-36)",0,1,2,1,6,3
"100",100,100,"9-37","Patent",1,34,3,203355011,18,5,"(9-37)",0,1,1,1,3,3
"101",101,101,"17-38","Patent",1,7,3,305102741,18,5,"(17-38)",0,1,2,1,4,3
"102",102,102,"3-37","Patent",1,10,3,205794159,18,5,"(3-37)",0,1,1,1,3,3
"103",103,103,"14-38","Patent",1,6,3,205794159,18,5,"(14-38)",0,1,1,1,3,3
"104",104,104,"6-16","Patent",1,6,3,305102741,18,5,"(6-16)",0,1,0,1,2,3
"105",105,105,"7-12","Patent",1,2,1,307982637,18,5,"(7-12)",0,1,0,0,5,3
"106",106,106,"15-61","Patent",1,8,1,307982637,19,5,"(15-61)",0,1,2,1,6,4
"107",107,107,"9-34","Patent",1,30,3,203355011,19,5,"(9-34)",0,1,2,1,4,4
"108",108,108,"8-5","Patent",1,23,3,203355011,19,5,"(8-5)",0,1,0,1,2,4
"109",109,109,"18-22","Patent",1,10,3,203355011,19,5,"(18-22)",0,1,3,1,5,4
"110",110,110,"23-47","Patent",1,10,2,305102741,19,5,"(23-47)",0,1,1,1,3,4
"111",111,111,"7-16","Patent",1,5,1,308113224,20,6,"(7-16)",0,1,3,1,5,1
"112",112,112,"8-59","Patent",1,10,2,204708143,20,6,"(8-59)",0,1,2,0,4,1
"113",113,113,"10-36","Patent",1,3,2,203865027,20,6,"(10-36)",0,1,1,1,3,1
"114",114,114,"26-0","Patent",1,NA,1,203865027,21,6,"(26-0)",1,1,1,1,2,2
"115",115,115,"29-24","Patent",1,NA,1,203865027,21,6,"(29-24)",1,1,3,1,4,2
"116",116,116,"18-18","Patent",1,5,2,303447205,21,6,"(18-18)",0,1,3,1,5,2
"117",117,117,"25-69","Patent",1,NA,2,204708143,21,6,"(25-69)",1,1,3,1,4,2
"118",118,118,"3-25","Patent",1,4,1,308113224,21,6,"(3-25)",0,1,2,0,4,2
"119",119,119,"10-25","Patent",1,4,1,303447205,21,6,"(10-25)",0,1,2,1,4,2
"120",120,120,"27-51","Patent",2,3,1,308113224,21,6,"(27-51)",0,1,1,0,4,2
"121",121,121,"2-7","Patent",1,5,1,303447205,22,6,"(2-7)",0,1,1,0,3,3
"122",122,122,"25-22","Patent",2,8,2,204708143,22,6,"(25-22)",0,1,2,1,5,3
"123",123,123,"2-14","Patent",1,4,2,303447205,22,6,"(2-14)",0,1,2,0,4,3
"124",124,124,"4-25","Patent",1,7,1,203865027,22,6,"(4-25)",0,1,2,0,4,3
"125",125,125,"15-40","Patent",1,4,2,308113224,22,6,"(15-40)",0,1,2,1,4,3
"126",126,126,"23-43","Patent",2,8,2,204708143,22,6,"(23-43)",0,1,2,1,5,3
"127",127,127,"26-6","Patent",2,2,1,204708143,23,6,"(26-6)",0,1,0,1,3,4
"128",128,128,"3-3","Patent",1,4,1,303447205,23,6,"(3-3)",0,1,2,1,4,4
"129",129,129,"6-24","Patent",1,11,3,204708143,23,6,"(6-24)",0,1,1,1,3,4
"130",130,130,"6-3","Patent",1,4,2,303447205,23,6,"(6-3)",0,1,2,1,4,4
"131",131,131,"3-25","Patent",1,3,3,308113224,23,6,"(3-25)",0,1,1,1,3,4
"132",132,132,"26-23","Patent",1,13,3,204708143,23,6,"(26-23)",0,1,2,1,4,4
"133",133,133,"8-6","Patent",1,3,2,303447205,23,6,"(8-6)",0,1,1,1,3,4
"134",134,134,"29-42","Patent",1,NA,2,203865027,23,6,"(29-42)",1,1,3,1,4,4
"135",135,135,"28-56","Patent",1,8,2,204708143,23,6,"(28-56)",0,1,2,1,4,4
"136",136,136,"15-8","Patent",1,NA,1,303447205,23,6,"(15-8)",0,1,1,1,2,4
"137",137,137,"10-39","Patent",1,9,2,308509652,24,7,"(10-39)",0,1,1,1,3,1
"138",138,138,"4-37","Patent",2,6,2,308509652,24,7,"(4-37)",0,1,1,1,4,1
"139",139,139,"9-34","Patent",2,5,2,315198796,24,7,"(9-34)",0,1,1,1,4,1
"140",140,140,"7-37","Patent",1,14,1,308219500,24,7,"(7-37)",0,1,4,1,6,1
"141",141,141,"5-32","Patent",1,5,1,315198796,24,7,"(5-32)",0,1,2,1,4,1
"142",142,142,"10-37","Patent",3,3,1,204188940,24,7,"(10-37)",0,1,0,0,4,1
"143",143,143,"24-42","Patent",1,20,2,308509652,25,7,"(24-42)",0,1,2,1,4,2
"144",144,144,"21-47","Patent",2,4,2,308219500,25,7,"(21-47)",0,1,1,1,4,2
"145",145,145,"18-43","Patent",1,5,1,308509652,25,7,"(18-43)",0,1,3,1,5,2
"146",146,146,"16-39","Patent",1,NA,1,308509652,25,7,"(16-39)",0,1,2,1,4,2
"147",147,147,"18-36","Patent",2,NA,1,308219500,25,7,"(18-36)",0,1,0,1,2,2
"148",148,148,"16-38","Patent",2,7,2,308509652,26,7,"(16-38)",0,1,1,1,4,3
"149",149,149,"12-4","Patent",1,3,2,308219500,26,7,"(12-4)",0,1,1,0,3,3
"150",150,150,"17-40","Patent",3,22,2,315198796,26,7,"(17-40)",0,1,4,1,6,3
"151",151,151,"14-36","Patent",1,6,2,308509652,26,7,"(14-36)",0,1,1,1,3,3
"152",152,152,"12-47","Patent",1,5,1,308509652,27,7,"(12-47)",0,1,1,1,3,4
"153",153,153,"4-37","Patent",2,2,1,204547871,28,8,"(4-37)",0,1,0,0,4,1
"154",154,154,"25-46","Patent",2,3,1,204547871,28,8,"(25-46)",0,1,3,0,5,1
"155",155,155,"4-69","Patent",1,NA,1,204688386,28,8,"(4-69)",1,1,2,0,3,1
"156",156,156,"6-15","Patent",2,3,1,204547871,29,8,"(6-15)",0,1,3,1,5,2
"157",157,157,"12-22","Patent",2,3,1,204547871,29,8,"(12-22)",0,1,1,1,4,2
"158",158,158,"22-47","Patent",2,5,1,206545964,29,8,"(22-47)",0,1,3,1,6,2
"159",159,159,"8-23","Patent",1,5,1,204547871,29,8,"(8-23)",0,1,3,1,5,2
"160",160,160,"11-12","Patent",2,3,1,204547871,29,8,"(11-12)",0,1,1,1,4,2
"161",161,161,"24-42","Patent",1,2,1,206545964,29,8,"(24-42)",0,1,0,1,2,2
"162",162,162,"5-39","Patent",2,3,1,204547871,30,8,"(5-39)",0,1,1,0,5,3
"163",163,163,"15-38","Patent",2,2,1,204688386,30,8,"(15-38)",0,1,2,0,5,3
"164",164,164,"13-11","Patent",1,3,1,206545964,31,8,"(13-11)",0,1,0,0,2,4
"165",165,165,"5-36","Patent",2,5,1,204688386,31,8,"(5-36)",0,1,4,1,7,4
"166",166,166,"17-6","Patent",1,2,1,206545964,31,8,"(17-6)",0,1,0,0,2,4
"167",167,167,"9-34","Patent",1,4,1,204547871,31,8,"(9-34)",0,1,2,0,4,4
"168",168,168,"17-43","Patent",1,5,1,204688386,31,8,"(17-43)",0,1,3,1,6,4
"169",169,169,"19-16","Patent",1,29,2,205400252,32,9,"(19-16)",0,1,2,1,5,1
"170",170,170,"8-38","Patent",1,9,2,206911141,32,9,"(8-38)",0,1,2,1,4,1
"171",171,171,"9-39","Patent",1,5,1,312167901,32,9,"(9-39)",0,1,1,0,4,1
"172",172,172,"16-38","Patent",1,2,1,312167901,33,9,"(16-38)",0,1,0,0,2,2
"173",173,173,"1-66","Patent",1,3,1,207070749,33,9,"(1-66)",0,1,1,0,3,2
"174",174,174,"7-13","Patent",2,10,1,206911141,33,9,"(7-13)",0,1,1,0,4,2
"175",175,175,"7-24","Patent",1,NA,1,205400252,33,9,"(7-24)",0,1,2,0,2,2
"176",176,176,"14-64","Patent",1,3,1,205400252,34,9,"(14-64)",0,1,1,0,3,3
"177",177,177,"9-65","Patent",2,4,1,312167901,34,9,"(9-65)",0,1,3,0,5,3
"178",178,178,"23-47","Patent",1,7,2,206911141,34,9,"(23-47)",0,1,2,0,4,3
"179",179,179,"17-44","Patent",1,4,2,205400252,34,9,"(17-44)",0,1,2,0,4,3
"180",180,180,"17-68","Patent",1,5,1,207070749,35,9,"(17-68)",0,1,1,1,3,4
"181",181,181,"6-3","Patent",1,5,1,312167901,35,9,"(6-3)",0,1,3,0,5,4
"182",182,182,"11-7","Patent",2,3,1,205400252,35,9,"(11-7)",0,1,1,0,4,4
"183",183,183,"12-4","Patent",1,4,1,312167901,35,9,"(12-4)",0,1,2,0,4,4
"184",184,184,"5-8","Patent",1,8,1,312167901,35,9,"(5-8)",0,1,3,0,5,4
"185",185,185,"9-34","Patent",3,3,1,205664741,36,10,"(9-34)",0,1,0,0,4,1
"186",186,186,"13-39","Patent",1,4,1,311355168,36,10,"(13-39)",0,1,1,0,3,1
